,a,b,lr,mean_loss
0,0.001,10.0,0.01,0.10756912660123646
0,0.001,10.0,0.003,0.10450625284642413
0,0.001,10.0,0.001,0.10423109518445056
0,0.001,10.0,0.0003,0.10418827723765718
0,0.001,10.0,0.0001,0.15283070623442746
0,0.001,10.0,3e-05,0.15291379532520322
0,0.001,10.0,1e-05,0.15328012509406477
0,0.01,10.0,0.01,0.10431431725189305
0,0.01,10.0,0.003,0.10445153794210889
0,0.01,10.0,0.001,0.10423272815735445
0,0.01,10.0,0.0003,0.10418364270657732
0,0.01,10.0,0.0001,0.15280410803962444
0,0.01,10.0,3e-05,0.15289171158835507
0,0.01,10.0,1e-05,0.15321098683752873
0,0.1,10.0,0.01,0.15335097790196323
0,0.1,10.0,0.003,0.10422752533054007
0,0.1,10.0,0.001,0.10423521087437437
0,0.1,10.0,0.0003,0.10417609354076178
0,0.1,10.0,0.0001,0.15279386457109798
0,0.1,10.0,3e-05,0.15289807551796886
0,0.1,10.0,1e-05,0.15312749606327733
0,1.0,10.0,0.01,0.1533786205817824
0,1.0,10.0,0.003,0.10441682925042899
0,1.0,10.0,0.001,0.10441383795029875
0,1.0,10.0,0.0003,0.10418486389992894
0,1.0,10.0,0.0001,0.10480322672621063
0,1.0,10.0,3e-05,0.15303004295497702
0,1.0,10.0,1e-05,0.1534689187571622
